Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Gunar Cockshoot;UK;85% Dark Bars;07/04/2021;448,00 €;295;28
Andria Kimpton;USA;Choco Coated Almonds;07/04/2021;7 637,00 €;132;294
Madelene Upcott;Canada;Peanut Butter Cubes;08/04/2021;2 541,00 €;23;102
Ches Bonnell;UK;Spicy Special Slims;08/04/2021;2 737,00 €;98;457
Gigi Bohling;India;Baker's Choco Chips;08/04/2021;630,00 €;46;45
Kaine Padly;USA;Manuka Honey Choco;08/04/2021;12 642,00 €;12;1150
Rafaelita Blaksland;India;70% Dark Bites;08/04/2021;1 750,00 €;13;125
Kelci Walkden;Australia;Almond Choco;08/04/2021;1 344,00 €;123;112
Barr Faughny;Australia;Orange Choco;08/04/2021;1 617,00 €;130;147
Kelci Walkden;USA;Caramel Stuffed Bars;08/04/2021;91,00 €;456;4
Barr Faughny;New Zealand;85% Dark Bars;08/04/2021;98,00 €;30;7
Karlen McCaffrey;Canada;Manuka Honey Choco;08/04/2021;4 095,00 €;63;342
Brien Boise;New Zealand;50% Dark Bites;08/04/2021;8 302,00 €;205;593
Rafaelita Blaksland;New Zealand;99% Dark & Pure;08/04/2021;7 854,00 €;106;342
Madelene Upcott;India;Manuka Honey Choco;08/04/2021;5 313,00 €;121;443
Marney O'Breen;UK;50% Dark Bites;09/04/2021;3 997,00 €;160;250
Jan Morforth;UK;Caramel Stuffed Bars;09/04/2021;1 575,00 €;129;63
Gunar Cockshoot;USA;Smooth Sliky Salty;09/04/2021;6 181,00 €;21;281
Kelci Walkden;New Zealand;After Nines;09/04/2021;11 949,00 €;156;1707
Dennison Crosswaite;Australia;Smooth Sliky Salty;09/04/2021;9 086,00 €;274;433
Kelci Walkden;Australia;Organic Choco Syrup;09/04/2021;1 050,00 €;194;96
Dotty Strutley;UK;Peanut Butter Cubes;09/04/2021;3 080,00 €;34;134
Ches Bonnell;USA;50% Dark Bites;09/04/2021;399,00 €;303;25
Kelci Walkden;Australia;99% Dark & Pure;09/04/2021;2 016,00 €;102;88
Oby Sorrel;UK;99% Dark & Pure;09/04/2021;3 031,00 €;396;145
Kaine Padly;USA;Baker's Choco Chips;09/04/2021;2 541,00 €;159;182
Madelene Upcott;UK;99% Dark & Pure;09/04/2021;5 222,00 €;18;249
Kelci Walkden;USA;White Choc;12/04/2021;2 604,00 €;22;186
Gunar Cockshoot;USA;Organic Choco Syrup;12/04/2021;6 643,00 €;74;665
Marney O'Breen;Australia;After Nines;12/04/2021;5 628,00 €;250;938
Oby Sorrel;Australia;Baker's Choco Chips;12/04/2021;1 225,00 €;194;88
Andria Kimpton;USA;99% Dark & Pure;12/04/2021;6 685,00 €;26;304
Dennison Crosswaite;Australia;Choco Coated Almonds;12/04/2021;1 827,00 €;39;74
Dotty Strutley;Australia;Almond Choco;12/04/2021;1 428,00 €;9;110
Brien Boise;Australia;85% Dark Bars;12/04/2021;406,00 €;437;29
Beverie Moffet;Australia;Raspberry Choco;12/04/2021;2 338,00 €;252;213
Kaine Padly;India;Orange Choco;12/04/2021;1 435,00 €;290;131
Oby Sorrel;Australia;70% Dark Bites;12/04/2021;105,00 €;47;7
Rafaelita Blaksland;UK;Smooth Sliky Salty;12/04/2021;1 589,00 €;15;76
Dotty Strutley;USA;Eclairs;12/04/2021;1 512,00 €;28;152
Rafaelita Blaksland;Canada;Eclairs;12/04/2021;1 561,00 €;273;174
Marney O'Breen;Canada;85% Dark Bars;12/04/2021;9 611,00 €;110;641
Oby Sorrel;Canada;Choco Coated Almonds;12/04/2021;10 948,00 €;29;422
Marney O'Breen;Canada;Mint Chip Choco;12/04/2021;868,00 €;149;49
Kelci Walkden;New Zealand;Milk Bars;12/04/2021;945,00 €;210;73
Beverie Moffet;USA;Choco Coated Almonds;12/04/2021;5 250,00 €;148;219
Oby Sorrel;India;50% Dark Bites;12/04/2021;2 884,00 €;133;206
Jan Morforth;UK;Baker's Choco Chips;12/04/2021;1 722,00 €;209;133
Madelene Upcott;India;85% Dark Bars;12/04/2021;8 309,00 €;382;554
Curtice Advani;Australia;Almond Choco;12/04/2021;2 191,00 €;304;157
Andria Kimpton;India;Baker's Choco Chips;12/04/2021;5 299,00 €;312;442
Beverie Moffet;India;Choco Coated Almonds;12/04/2021;1 043,00 €;33;42
Wilone O'Kielt;Canada;Spicy Special Slims;12/04/2021;3 717,00 €;230;465
Brien Boise;New Zealand;Drinking Coco;12/04/2021;6 818,00 €;156;427
Gunar Cockshoot;New Zealand;Caramel Stuffed Bars;12/04/2021;6 174,00 €;194;229
Kelci Walkden;India;Baker's Choco Chips;12/04/2021;224,00 €;290;16
Dotty Strutley;Canada;After Nines;12/04/2021;4 893,00 €;59;699
Husein Augar;India;Spicy Special Slims;12/04/2021;910,00 €;468;114
Andria Kimpton;UK;Almond Choco;13/04/2021;3 164,00 €;299;244
Wilone O'Kielt;UK;Raspberry Choco;13/04/2021;1 274,00 €;25;107
Kelci Walkden;New Zealand;Smooth Sliky Salty;13/04/2021;2 660,00 €;43;116
Ches Bonnell;New Zealand;Baker's Choco Chips;13/04/2021;4 445,00 €;217;318
Ches Bonnell;Australia;Spicy Special Slims;13/04/2021;581,00 €;269;97
Husein Augar;UK;Fruit & Nut Bars;13/04/2021;4 473,00 €;244;187
Husein Augar;UK;50% Dark Bites;13/04/2021;5 488,00 €;270;392
Curtice Advani;USA;Eclairs;13/04/2021;49,00 €;278;6
Gigi Bohling;USA;Almond Choco;13/04/2021;4 739,00 €;8;365
Gunar Cockshoot;UK;Orange Choco;13/04/2021;6 797,00 €;29;618
Jan Morforth;Australia;Mint Chip Choco;13/04/2021;4 291,00 €;85;239
Kaine Padly;India;Raspberry Choco;13/04/2021;1 568,00 €;214;157
Kaine Padly;India;Smooth Sliky Salty;13/04/2021;6 923,00 €;229;330
Brien Boise;UK;White Choc;13/04/2021;8 953,00 €;104;560
Beverie Moffet;USA;85% Dark Bars;13/04/2021;5 747,00 €;9;384
Marney O'Breen;Canada;Choco Coated Almonds;13/04/2021;2 317,00 €;40;90
Gigi Bohling;Australia;Peanut Butter Cubes;13/04/2021;1 099,00 €;56;48
Dennison Crosswaite;New Zealand;70% Dark Bites;13/04/2021;91,00 €;35;7
Curtice Advani;India;Caramel Stuffed Bars;14/04/2021;8 428,00 €;329;338
Husein Augar;Canada;White Choc;14/04/2021;42,00 €;129;3
Marney O'Breen;New Zealand;Spicy Special Slims;14/04/2021;4 760,00 €;316;595
Dotty Strutley;Canada;Smooth Sliky Salty;14/04/2021;252,00 €;90;11
Gunar Cockshoot;India;Spicy Special Slims;14/04/2021;1 155,00 €;237;145
Marney O'Breen;UK;99% Dark & Pure;14/04/2021;238,00 €;163;11
Gigi Bohling;Canada;50% Dark Bites;14/04/2021;763,00 €;57;51
Andria Kimpton;Canada;Manuka Honey Choco;14/04/2021;16 366,00 €;145;1259
Kaine Padly;UK;Drinking Coco;14/04/2021;742,00 €;24;42
Kelci Walkden;Australia;Manuka Honey Choco;14/04/2021;728,00 €;1;61
Dotty Strutley;UK;Milk Bars;14/04/2021;9 380,00 €;529;670
Dennison Crosswaite;UK;Spicy Special Slims;14/04/2021;14 588,00 €;186;2084
Beverie Moffet;New Zealand;Caramel Stuffed Bars;14/04/2021;7 448,00 €;342;276
Gunar Cockshoot;Australia;85% Dark Bars;14/04/2021;5 222,00 €;54;373
Brien Boise;Australia;Eclairs;14/04/2021;4 627,00 €;25;579
Dennison Crosswaite;India;Raspberry Choco;14/04/2021;2 982,00 €;94;299
Jan Morforth;India;Smooth Sliky Salty;14/04/2021;6 902,00 €;139;301
Wilone O'Kielt;Australia;Orange Choco;14/04/2021;721,00 €;299;61
Rafaelita Blaksland;UK;Fruit & Nut Bars;14/04/2021;3 829,00 €;218;167
Andria Kimpton;USA;Spicy Special Slims;14/04/2021;3 794,00 €;245;475
Kelci Walkden;UK;White Choc;14/04/2021;6 615,00 €;126;441
Jan Morforth;India;Spicy Special Slims;14/04/2021;448,00 €;128;64
Andria Kimpton;New Zealand;Milk Bars;14/04/2021;4 872,00 €;65;375
Dennison Crosswaite;India;Eclairs;14/04/2021;4 431,00 €;7;554
Marney O'Breen;India;Spicy Special Slims;15/04/2021;812,00 €;349;116
Jan Morforth;New Zealand;Drinking Coco;15/04/2021;10 521,00 €;354;658
Kelci Walkden;Australia;Drinking Coco;15/04/2021;2 387,00 €;276;133
Gunar Cockshoot;India;Orange Choco;15/04/2021;8 113,00 €;70;625
Jan Morforth;USA;After Nines;15/04/2021;5 586,00 €;160;931
Rafaelita Blaksland;India;Fruit & Nut Bars;15/04/2021;1 239,00 €;370;52
Madelene Upcott;India;Orange Choco;15/04/2021;3 108,00 €;43;240
Barr Faughny;Canada;85% Dark Bars;15/04/2021;784,00 €;117;49
Gigi Bohling;India;99% Dark & Pure;15/04/2021;8 645,00 €;74;376
Madelene Upcott;Canada;Spicy Special Slims;15/04/2021;2 254,00 €;100;282
Dotty Strutley;USA;Raspberry Choco;15/04/2021;1 246,00 €;256;125
Kaine Padly;Canada;Organic Choco Syrup;15/04/2021;1 071,00 €;239;119
Barr Faughny;USA;After Nines;15/04/2021;2 023,00 €;21;253
Husein Augar;UK;70% Dark Bites;15/04/2021;7 462,00 €;104;533
Dotty Strutley;India;Peanut Butter Cubes;15/04/2021;3 087,00 €;144;129
Curtice Advani;UK;Milk Bars;15/04/2021;679,00 €;39;46
Ches Bonnell;USA;After Nines;15/04/2021;5 285,00 €;162;755
Jan Morforth;Canada;Mint Chip Choco;15/04/2021;98,00 €;275;6
Karlen McCaffrey;Canada;Orange Choco;15/04/2021;6 363,00 €;133;579
Andria Kimpton;Canada;Spicy Special Slims;15/04/2021;3 885,00 €;163;648
Oby Sorrel;USA;70% Dark Bites;15/04/2021;1 995,00 €;15;133
Beverie Moffet;UK;After Nines;15/04/2021;6 069,00 €;44;867
Madelene Upcott;India;Choco Coated Almonds;15/04/2021;1 337,00 €;216;54
Madelene Upcott;USA;Manuka Honey Choco;15/04/2021;1 316,00 €;145;120
Andria Kimpton;USA;Mint Chip Choco;15/04/2021;1 554,00 €;127;87
Kelci Walkden;Australia;Baker's Choco Chips;15/04/2021;4 277,00 €;197;357
Ches Bonnell;Australia;Raspberry Choco;15/04/2021;1 498,00 €;93;150
Dotty Strutley;Australia;Organic Choco Syrup;15/04/2021;3 241,00 €;360;361
Ches Bonnell;USA;Orange Choco;15/04/2021;1 106,00 €;87;86
Dotty Strutley;Canada;Mint Chip Choco;15/04/2021;1 498,00 €;79;84
Gigi Bohling;India;Caramel Stuffed Bars;15/04/2021;4 543,00 €;261;182
Karlen McCaffrey;India;Choco Coated Almonds;16/04/2021;1 876,00 €;158;79
Gigi Bohling;Australia;Smooth Sliky Salty;16/04/2021;1 687,00 €;43;74
Dennison Crosswaite;Canada;Spicy Special Slims;16/04/2021;175,00 €;78;25
Andria Kimpton;Australia;Caramel Stuffed Bars;16/04/2021;2 478,00 €;235;100
Jan Morforth;Canada;Eclairs;16/04/2021;728,00 €;183;73
Barr Faughny;New Zealand;Baker's Choco Chips;16/04/2021;11 151,00 €;120;930
Kaine Padly;UK;Organic Choco Syrup;16/04/2021;3 164,00 €;230;352
Kelci Walkden;Australia;Mint Chip Choco;16/04/2021;5 292,00 €;121;279
Brien Boise;Canada;Spicy Special Slims;16/04/2021;2 730,00 €;203;455
Gunar Cockshoot;Canada;Almond Choco;16/04/2021;4 886,00 €;81;376
Dotty Strutley;New Zealand;Milk Bars;16/04/2021;5 551,00 €;150;397
Madelene Upcott;India;50% Dark Bites;16/04/2021;7 385,00 €;195;462
Dennison Crosswaite;New Zealand;Smooth Sliky Salty;16/04/2021;5 908,00 €;27;257
Kaine Padly;India;Choco Coated Almonds;16/04/2021;252,00 €;100;10
Husein Augar;New Zealand;Raspberry Choco;16/04/2021;770,00 €;76;77
Brien Boise;UK;Smooth Sliky Salty;16/04/2021;903,00 €;284;42
Gigi Bohling;New Zealand;Organic Choco Syrup;19/04/2021;11 347,00 €;195;1261
Marney O'Breen;Australia;Almond Choco;19/04/2021;7 217,00 €;68;556
Husein Augar;Canada;Manuka Honey Choco;19/04/2021;2 737,00 €;180;211
Rafaelita Blaksland;USA;70% Dark Bites;19/04/2021;4 991,00 €;157;333
Wilone O'Kielt;New Zealand;Organic Choco Syrup;19/04/2021;1 589,00 €;53;145
Oby Sorrel;Canada;Spicy Special Slims;19/04/2021;1 232,00 €;111;206
Karlen McCaffrey;UK;Caramel Stuffed Bars;19/04/2021;2 765,00 €;113;103
Karlen McCaffrey;Australia;White Choc;19/04/2021;1 736,00 €;45;116
Husein Augar;UK;85% Dark Bars;19/04/2021;364,00 €;258;25
Beverie Moffet;Australia;Smooth Sliky Salty;19/04/2021;3 899,00 €;249;186
Brien Boise;New Zealand;Smooth Sliky Salty;19/04/2021;3 115,00 €;126;142
Beverie Moffet;New Zealand;70% Dark Bites;19/04/2021;105,00 €;174;8
Husein Augar;UK;Spicy Special Slims;19/04/2021;6 692,00 €;68;1116
Brien Boise;USA;Choco Coated Almonds;19/04/2021;3 983,00 €;65;160
Barr Faughny;Canada;Mint Chip Choco;19/04/2021;2 401,00 €;146;134
Madelene Upcott;Canada;Organic Choco Syrup;20/04/2021;4 298,00 €;79;430
Husein Augar;UK;White Choc;20/04/2021;13 839,00 €;218;989
Beverie Moffet;Australia;Caramel Stuffed Bars;20/04/2021;1 414,00 €;171;53
Kelci Walkden;Canada;Milk Bars;20/04/2021;182,00 €;113;13
Beverie Moffet;India;Drinking Coco;20/04/2021;9 457,00 €;173;557
Kaine Padly;Canada;99% Dark & Pure;20/04/2021;1 071,00 €;209;47
Kaine Padly;Canada;Smooth Sliky Salty;20/04/2021;6 944,00 €;100;302
Madelene Upcott;New Zealand;99% Dark & Pure;20/04/2021;5 005,00 €;169;228
Kaine Padly;Australia;Peanut Butter Cubes;20/04/2021;8 757,00 €;42;381
Ches Bonnell;USA;Mint Chip Choco;20/04/2021;2 275,00 €;341;127
Andria Kimpton;UK;Caramel Stuffed Bars;20/04/2021;2 611,00 €;181;97
Barr Faughny;UK;After Nines;20/04/2021;2 884,00 €;37;412
Oby Sorrel;USA;Fruit & Nut Bars;21/04/2021;3 073,00 €;223;129
Jan Morforth;USA;Almond Choco;21/04/2021;1 589,00 €;55;123
Marney O'Breen;USA;Organic Choco Syrup;21/04/2021;7 070,00 €;154;786
Jan Morforth;UK;Eclairs;21/04/2021;5 733,00 €;87;574
Marney O'Breen;USA;White Choc;21/04/2021;343,00 €;475;22
Brien Boise;New Zealand;Fruit & Nut Bars;21/04/2021;8 456,00 €;36;339
Madelene Upcott;USA;Drinking Coco;21/04/2021;7 070,00 €;13;416
Beverie Moffet;UK;Manuka Honey Choco;21/04/2021;1 953,00 €;214;163
Jan Morforth;Canada;White Choc;21/04/2021;2 324,00 €;274;166
Marney O'Breen;Canada;70% Dark Bites;21/04/2021;3 122,00 €;393;209
Madelene Upcott;UK;After Nines;21/04/2021;4 550,00 €;273;759
Gigi Bohling;New Zealand;White Choc;21/04/2021;2 842,00 €;85;190
Wilone O'Kielt;USA;Milk Bars;21/04/2021;2 730,00 €;396;195
Dennison Crosswaite;USA;Manuka Honey Choco;21/04/2021;4 242,00 €;23;327
Barr Faughny;USA;Eclairs;21/04/2021;1 603,00 €;140;201
Husein Augar;Canada;Peanut Butter Cubes;22/04/2021;3 234,00 €;266;135
Beverie Moffet;Australia;After Nines;22/04/2021;8 820,00 €;60;1470
Karlen McCaffrey;New Zealand;Choco Coated Almonds;22/04/2021;5 390,00 €;59;225
Dotty Strutley;Canada;50% Dark Bites;22/04/2021;2 800,00 €;369;187
Gigi Bohling;Canada;Drinking Coco;22/04/2021;504,00 €;216;32
Karlen McCaffrey;New Zealand;85% Dark Bars;22/04/2021;5 131,00 €;258;321
Ches Bonnell;Australia;After Nines;22/04/2021;2 205,00 €;141;368
Barr Faughny;Australia;Peanut Butter Cubes;22/04/2021;238,00 €;72;10
Barr Faughny;Australia;Choco Coated Almonds;22/04/2021;3 318,00 €;87;128
Husein Augar;UK;Eclairs;22/04/2021;4 501,00 €;105;501
Beverie Moffet;Canada;Peanut Butter Cubes;22/04/2021;5 439,00 €;74;237
Kelci Walkden;USA;Choco Coated Almonds;22/04/2021;3 563,00 €;29;149
Kaine Padly;Canada;Drinking Coco;22/04/2021;5 425,00 €;47;340
Wilone O'Kielt;New Zealand;White Choc;22/04/2021;1 477,00 €;166;93
Kelci Walkden;USA;Drinking Coco;22/04/2021;13 510,00 €;196;751
Wilone O'Kielt;UK;85% Dark Bars;22/04/2021;1 946,00 €;227;139
Andria Kimpton;New Zealand;Orange Choco;22/04/2021;8 078,00 €;76;674
Jan Morforth;USA;50% Dark Bites;22/04/2021;3 829,00 €;72;256
Andria Kimpton;New Zealand;After Nines;22/04/2021;5 005,00 €;431;626
Kaine Padly;UK;85% Dark Bars;23/04/2021;3 248,00 €;84;217
Dennison Crosswaite;New Zealand;Mint Chip Choco;23/04/2021;2 821,00 €;341;157
Brien Boise;Canada;Peanut Butter Cubes;23/04/2021;1 666,00 €;286;67
Wilone O'Kielt;New Zealand;70% Dark Bites;23/04/2021;546,00 €;64;42
Jan Morforth;Canada;Orange Choco;23/04/2021;16 219,00 €;62;1248
Kelci Walkden;India;White Choc;23/04/2021;1 505,00 €;306;95
Gunar Cockshoot;Australia;Manuka Honey Choco;23/04/2021;4 074,00 €;178;371
Oby Sorrel;UK;Orange Choco;23/04/2021;1 134,00 €;135;104
Gunar Cockshoot;Canada;Drinking Coco;23/04/2021;9 100,00 €;14;569
Karlen McCaffrey;Australia;50% Dark Bites;23/04/2021;581,00 €;330;42
Beverie Moffet;India;Almond Choco;23/04/2021;1 141,00 €;425;82
Rafaelita Blaksland;India;99% Dark & Pure;23/04/2021;2 086,00 €;385;91
Ches Bonnell;USA;Fruit & Nut Bars;23/04/2021;2 730,00 €;116;119
Gigi Bohling;India;Drinking Coco;23/04/2021;875,00 €;153;55
Kaine Padly;India;70% Dark Bites;23/04/2021;518,00 €;72;40
Rafaelita Blaksland;USA;White Choc;23/04/2021;2 233,00 €;94;160
Andria Kimpton;New Zealand;Caramel Stuffed Bars;23/04/2021;1 337,00 €;7;54
Husein Augar;USA;Eclairs;23/04/2021;5 740,00 €;177;718
Husein Augar;USA;Spicy Special Slims;23/04/2021;3 017,00 €;126;431
Jan Morforth;UK;Choco Coated Almonds;23/04/2021;10 395,00 €;290;434
Dennison Crosswaite;Australia;White Choc;23/04/2021;560,00 €;48;35
Karlen McCaffrey;Australia;85% Dark Bars;23/04/2021;756,00 €;282;48
Barr Faughny;Australia;Milk Bars;23/04/2021;791,00 €;24;57
Andria Kimpton;USA;85% Dark Bars;23/04/2021;2 870,00 €;117;205
Oby Sorrel;New Zealand;Manuka Honey Choco;23/04/2021;910,00 €;169;83
Curtice Advani;India;85% Dark Bars;26/04/2021;1 218,00 €;14;87
Dotty Strutley;USA;70% Dark Bites;26/04/2021;3 794,00 €;372;292
Madelene Upcott;New Zealand;Choco Coated Almonds;26/04/2021;7 266,00 €;220;291
Kaine Padly;USA;99% Dark & Pure;26/04/2021;3 430,00 €;42;150
Kaine Padly;USA;Smooth Sliky Salty;26/04/2021;10 528,00 €;75;502
Madelene Upcott;USA;White Choc;26/04/2021;3 255,00 €;80;204
Wilone O'Kielt;New Zealand;Caramel Stuffed Bars;26/04/2021;4 361,00 €;256;168
Gigi Bohling;India;Choco Coated Almonds;26/04/2021;658,00 €;36;26
Curtice Advani;India;White Choc;26/04/2021;4 942,00 €;166;353
Dennison Crosswaite;UK;Choco Coated Almonds;26/04/2021;5 257,00 €;117;220
Andria Kimpton;Canada;Choco Coated Almonds;27/04/2021;4 088,00 €;50;158
Curtice Advani;Australia;50% Dark Bites;27/04/2021;784,00 €;130;53
Gigi Bohling;Canada;Orange Choco;27/04/2021;6 713,00 €;54;517
Ches Bonnell;India;Fruit & Nut Bars;27/04/2021;3 829,00 €;473;167
Wilone O'Kielt;India;Peanut Butter Cubes;27/04/2021;1 456,00 €;466;64
Karlen McCaffrey;Canada;After Nines;27/04/2021;2 499,00 €;87;357
Kelci Walkden;UK;Peanut Butter Cubes;27/04/2021;1 911,00 €;42;84
Barr Faughny;New Zealand;Almond Choco;28/04/2021;2 289,00 €;39;191
Curtice Advani;UK;50% Dark Bites;28/04/2021;2 751,00 €;68;184
Rafaelita Blaksland;New Zealand;Milk Bars;28/04/2021;812,00 €;101;63
Gunar Cockshoot;UK;White Choc;28/04/2021;9 520,00 €;123;635
Brien Boise;Canada;After Nines;28/04/2021;2 744,00 €;322;392
Barr Faughny;New Zealand;Organic Choco Syrup;28/04/2021;1 519,00 €;22;169
Madelene Upcott;Canada;Baker's Choco Chips;28/04/2021;8 722,00 €;313;727
Husein Augar;Australia;Choco Coated Almonds;28/04/2021;588,00 €;337;23
Andria Kimpton;UK;99% Dark & Pure;28/04/2021;13 384,00 €;423;638
Barr Faughny;USA;Almond Choco;28/04/2021;1 043,00 €;108;75
Jan Morforth;India;85% Dark Bars;28/04/2021;3 262,00 €;198;233
Dotty Strutley;UK;Organic Choco Syrup;28/04/2021;1 827,00 €;77;167
Kelci Walkden;USA;Spicy Special Slims;28/04/2021;8 680,00 €;203;1240
Madelene Upcott;UK;Smooth Sliky Salty;28/04/2021;3 185,00 €;3;145
Beverie Moffet;New Zealand;Eclairs;28/04/2021;3 955,00 €;123;440
Beverie Moffet;Canada;Spicy Special Slims;28/04/2021;3 878,00 €;358;647
Jan Morforth;Canada;Smooth Sliky Salty;28/04/2021;1 638,00 €;69;78
Madelene Upcott;Australia;Smooth Sliky Salty;28/04/2021;10 808,00 €;224;492
Kelci Walkden;New Zealand;85% Dark Bars;28/04/2021;4 319,00 €;108;309
Oby Sorrel;UK;50% Dark Bites;28/04/2021;6 608,00 €;297;472
Beverie Moffet;Australia;Choco Coated Almonds;28/04/2021;6 755,00 €;188;282
Kaine Padly;UK;Almond Choco;28/04/2021;203,00 €;154;15
Dotty Strutley;Australia;Smooth Sliky Salty;28/04/2021;2 723,00 €;282;124
Gigi Bohling;Australia;Orange Choco;29/04/2021;2 093,00 €;7;191
Kelci Walkden;Canada;Mint Chip Choco;29/04/2021;9 590,00 €;194;505
Gunar Cockshoot;USA;White Choc;29/04/2021;3 346,00 €;65;239
Jan Morforth;UK;99% Dark & Pure;29/04/2021;4 781,00 €;115;218
Karlen McCaffrey;Canada;Spicy Special Slims;29/04/2021;5 733,00 €;279;956
Rafaelita Blaksland;New Zealand;Raspberry Choco;29/04/2021;119,00 €;265;12
Dennison Crosswaite;UK;White Choc;29/04/2021;658,00 €;29;47
Kaine Padly;India;Drinking Coco;29/04/2021;3 528,00 €;209;196
Marney O'Breen;Canada;Orange Choco;29/04/2021;630,00 €;295;53
Wilone O'Kielt;Australia;Manuka Honey Choco;29/04/2021;4 067,00 €;352;339
Dotty Strutley;USA;50% Dark Bites;29/04/2021;13 258,00 €;24;829
Jan Morforth;USA;Fruit & Nut Bars;29/04/2021;3 654,00 €;43;153
Dennison Crosswaite;Australia;Eclairs;29/04/2021;294,00 €;128;30
Andria Kimpton;USA;50% Dark Bites;29/04/2021;3 626,00 €;453;242
Kaine Padly;UK;Choco Coated Almonds;29/04/2021;7 238,00 €;211;290
Oby Sorrel;Australia;Raspberry Choco;29/04/2021;3 283,00 €;364;329
Dotty Strutley;India;Manuka Honey Choco;30/04/2021;1 232,00 €;110;112
Wilone O'Kielt;India;Orange Choco;30/04/2021;2 639,00 €;6;220
Andria Kimpton;Australia;Eclairs;30/04/2021;9 737,00 €;362;1082
Marney O'Breen;USA;70% Dark Bites;30/04/2021;8 547,00 €;187;570
Beverie Moffet;USA;Orange Choco;30/04/2021;6 419,00 €;151;584
Dotty Strutley;USA;Baker's Choco Chips;30/04/2021;5 173,00 €;274;398
Dotty Strutley;Australia;85% Dark Bars;30/04/2021;2 149,00 €;219;135
Rafaelita Blaksland;USA;After Nines;30/04/2021;4 977,00 €;156;623
Rafaelita Blaksland;Canada;After Nines;30/04/2021;9 282,00 €;161;1326
Wilone O'Kielt;New Zealand;Orange Choco;30/04/2021;392,00 €;306;33
Ches Bonnell;India;Mint Chip Choco;30/04/2021;3 052,00 €;60;170
Gigi Bohling;India;Fruit & Nut Bars;30/04/2021;5 558,00 €;192;223
Ches Bonnell;Canada;85% Dark Bars;30/04/2021;1 680,00 €;109;120
Kaine Padly;UK;Peanut Butter Cubes;30/04/2021;1 148,00 €;162;46
Kelci Walkden;India;Drinking Coco;30/04/2021;14 931,00 €;312;879
Barr Faughny;India;Peanut Butter Cubes;30/04/2021;2 688,00 €;16;117
Andria Kimpton;New Zealand;Manuka Honey Choco;30/04/2021;8 015,00 €;121;729
Husein Augar;UK;Orange Choco;30/04/2021;2 380,00 €;62;184
Andria Kimpton;India;Eclairs;30/04/2021;6 496,00 €;21;650
Kelci Walkden;New Zealand;Peanut Butter Cubes;30/04/2021;7 378,00 €;494;321
Jan Morforth;New Zealand;99% Dark & Pure;30/04/2021;3 325,00 €;224;152
Wilone O'Kielt;Australia;Mint Chip Choco;30/04/2021;2 877,00 €;359;144
Beverie Moffet;Canada;Organic Choco Syrup;30/04/2021;1 435,00 €;302;160
Karlen McCaffrey;New Zealand;Baker's Choco Chips;30/04/2021;6 587,00 €;213;471
Jan Morforth;India;After Nines;30/04/2021;2 079,00 €;510;347
Curtice Advani;USA;Choco Coated Almonds;30/04/2021;2 422,00 €;195;97
Marney O'Breen;Australia;Baker's Choco Chips;30/04/2021;4 102,00 €;49;316
Marney O'Breen;UK;Raspberry Choco;03/05/2021;910,00 €;169;76
Kelci Walkden;Canada;Smooth Sliky Salty;03/05/2021;406,00 €;69;18
Husein Augar;Australia;Drinking Coco;03/05/2021;4 088,00 €;275;228
Oby Sorrel;USA;Eclairs;03/05/2021;1 631,00 €;22;204
Ches Bonnell;New Zealand;Mint Chip Choco;03/05/2021;3 073,00 €;49;171
Ches Bonnell;UK;Baker's Choco Chips;04/05/2021;2 226,00 €;269;172
Dennison Crosswaite;UK;Smooth Sliky Salty;04/05/2021;2 751,00 €;203;120
Gigi Bohling;UK;Fruit & Nut Bars;04/05/2021;7 119,00 €;181;297
Curtice Advani;USA;Raspberry Choco;04/05/2021;1 764,00 €;169;161
Oby Sorrel;UK;Manuka Honey Choco;04/05/2021;9 891,00 €;164;900
Dennison Crosswaite;India;Choco Coated Almonds;04/05/2021;3 486,00 €;245;146
Curtice Advani;Canada;Drinking Coco;04/05/2021;1 939,00 €;44;122
Ches Bonnell;New Zealand;Peanut Butter Cubes;04/05/2021;2 604,00 €;40;109
Dennison Crosswaite;India;Organic Choco Syrup;04/05/2021;7 595,00 €;55;760
Dennison Crosswaite;New Zealand;Choco Coated Almonds;04/05/2021;147,00 €;220;7
Brien Boise;India;Baker's Choco Chips;04/05/2021;1 078,00 €;154;90
Husein Augar;India;After Nines;04/05/2021;5 264,00 €;48;658
Dotty Strutley;Canada;70% Dark Bites;04/05/2021;3 038,00 €;86;234
Rafaelita Blaksland;USA;Drinking Coco;04/05/2021;672,00 €;86;42
Kaine Padly;India;Caramel Stuffed Bars;04/05/2021;2 751,00 €;82;102
Marney O'Breen;USA;Mint Chip Choco;04/05/2021;224,00 €;98;12
Jan Morforth;Canada;Peanut Butter Cubes;04/05/2021;4 291,00 €;265;187
Dennison Crosswaite;India;Orange Choco;04/05/2021;1 134,00 €;278;95
Madelene Upcott;Australia;Caramel Stuffed Bars;04/05/2021;3 822,00 €;195;147
Ches Bonnell;India;After Nines;04/05/2021;2 933,00 €;89;419
Rafaelita Blaksland;Australia;70% Dark Bites;04/05/2021;1 932,00 €;465;138
Oby Sorrel;India;Drinking Coco;04/05/2021;2 009,00 €;180;126
